행정구역,2015,2016,2017,2018,2019,2020
전국,10698686,10743492,11000007,11233906,11456266,11730171
수도권,1640149,1649282,1682688,1723084,1763502,1810038
지방,1098461,1102609,1130129,1153237,1174801,1202015
서울특별시,1875295,1864059,1875189,1884423,1894875,1928074
부산광역시,786367,783542,791489,796271,799696,809380
대구광역시,533011,537709,550374,557967,563282,569624
인천광역시,611847,617040,630228,642745,650209,659295
광주광역시,322530,324437,328263,333853,338980,343671
대전광역시,320654,320525,320407,325228,326384,330682
울산광역시,264500,266518,271099,274789,279906,286134
세종특별자치시,40715,47215,55925,64544,69400,73011
경기도,2433305,2466749,2542649,2642084,2745423,2842747
강원도,334031,338824,345955,353035,363552,378696
충청북도,348127,351451,362726,371224,382876,394482
충청남도,446466,456199,477532,492564,504574,517605
전라북도,421666,415291,427522,434101,439491,448731
전라남도,431275,421262,435332,441640,449851,464463
경상북도,635608,632790,652416,665822,675292,688989
경상남도,769925,773636,800655,816442,831804,850274
제주특별자치도,123364,126245,132246,137174,140671,144313
