행정구역,2015,2016,2017,2018,2019,2020
전국,19111030,19367696,19673875,19979188,20343188,20926710
수도권,3071549,3110652,3165498,3228670,3308208,3409307
지방,1933827,1960229,1990083,2018157,2050783,2108366
서울특별시,3784490,3784705,3813260,3839766,3896389,3982290
부산광역시,1335900,1344170,1354401,1363608,1377030,1405037
대구광역시,928528,935753,948030,957516,968620,985816
인천광역시,1045417,1062828,1080285,1094749,1120576,1147200
광주광역시,567157,569372,575732,578559,587159,599217
대전광역시,582504,590698,597736,602175,609043,631208
울산광역시,423412,426027,428720,431391,437094,444087
세종특별자치시,75219,90413,104325,119029,129664,139106
경기도,4384742,4484424,4602950,4751497,4907660,5098431
강원도,606117,616346,620729,628484,633942,661039
충청북도,601856,617914,629073,640978,654713,678922
충청남도,796185,813730,834986,851124,864102,892222
전라북도,717311,724678,728871,732980,738307,755575
전라남도,720612,727197,733757,737406,741026,761518
경상북도,1062724,1076581,1087807,1094534,1102934,1131819
경상남도,1258487,1273523,1292998,1306394,1321213,1350155
제주특별자치도,220369,229337,240215,248998,253716,263068
