행정구역,2015(총계),2015(30세미만),2015(30~39세),2015(40~49세),2015(50~59세),2015(60~69세),2015(70~79세),2015(80세이상),2016(총계),2016(30세미만),2016(30~39세),2016(40~49세),2016(50~59세),2016(60~69세),2016(70~79세),2016(80세이상),2017(총계),2017(30세미만),2017(30~39세),2017(40~49세),2017(50~59세),2017(60~69세),2017(70~79세),2017(80세이상),2018(총계),2018(30세미만),2018(30~39세),2018(40~49세),2018(50~59세),2018(60~69세),2018(70~79세),2018(80세이상),2019(총계),2019(30세미만),2019(30~39세),2019(40~49세),2019(50~59세),2019(60~69세),2019(70~79세),2019(80세이상),2020(총계),2020(30세미만),2020(30~39세),2020(40~49세),2020(50~59세),2020(60~69세),2020(70~79세),2020(80세이상)
전국,3148383,529008,589953,628268,558414,320769,313003,208968,3258522,561360,583539,625122,582043,355488,319774,231196,3325848,583432,590172,621822,596286,378888,319104,236144,3403679,617706,596491,608250,606187,404511,321912,248622,3508988,676210,610064,598494,610226,428107,321324,264563,3696437,776085,635937,605552,615315,464743,324385,274420
수도권,520817,94688,111042,109402,94987,50071,38827,21799,537777,100115,110169,108666,98399,55542,40561,24322,554578,104534,112087,108407,101173,60296,42377,25701,574843,112645,115166,106905,103391,65369,43826,27540,601722,125319,119547,106133,105206,70194,45299,30021,636563,140589,126223,108195,106710,76664,46561,31619
지방,2272087,278135,561522,557105,485962,230275,118237,40848,2304530,290566,556468,544356,496335,252232,121059,43512,2296964,296926,544434,527423,493971,265730,123234,45244,2292705,307971,529771,502246,491893,282501,129376,48944,2310188,328735,525836,483833,487373,297575,133731,53104,2357960,354388,529828,477098,483183,319516,138017,55929
서울특별시,752411,172453,166681,136140,125907,72109,51814,27307,770782,183936,166085,133228,126153,78073,53668,29639,792854,191834,169841,132720,127352,83572,56100,31435,818380,206601,174220,130078,127447,88567,57903,33564,854222,225681,181737,129186,128123,93150,59925,36420,896628,247546,190504,131349,127890,100045,61284,38010
부산광역시,220986,36910,32436,39973,42101,29361,25751,14454,227797,38644,32284,39465,42543,32266,26652,15943,232336,40664,33528,39148,42825,33987,26473,15711,237160,43561,34120,37912,42548,35431,27124,16464,243332,47376,35211,37014,42104,36558,27377,17692,254629,53489,37163,36995,41885,38857,27766,18474
대구광역시,158062,23342,25661,34349,31541,17965,16161,9043,160855,23615,24701,33476,32788,19889,16104,10282,163303,25371,24380,32039,33383,21086,16494,10550,166017,27015,24174,30745,33950,22128,16720,11285,170304,30401,24084,29471,33861,23310,16941,12236,176574,33129,24710,29193,33922,25476,17131,13013
인천광역시,153299,20744,30268,36301,30995,14671,12337,7983,158982,22023,30198,36070,32782,16444,12785,8680,163203,23237,30343,35395,33557,18165,13211,9295,167121,23793,30551,34698,34415,20140,13655,9869,176619,28514,31559,34248,35338,22207,14083,10670,187068,33300,32962,34744,35807,24393,14455,11407
광주광역시,103162,21099,20968,21985,17621,8846,7672,4971,103770,20784,20383,21572,18461,9570,7699,5301,105519,21589,19980,21309,19153,10219,7905,5364,105115,22073,18940,20447,19201,10799,8010,5645,106894,23840,18538,19959,19185,11365,8075,5932,110977,27020,18588,19662,19047,12343,8156,6161
대전광역시,103681,26143,19943,20648,17023,8682,6895,4347,107615,28120,19815,20584,17540,9702,7079,4775,111676,29857,20271,20546,18297,10604,7212,4889,113162,31158,19998,19741,18652,11290,7253,5070,116476,33216,20078,19191,18952,12125,7441,5473,126882,40702,20954,19349,19163,13274,7781,5659
울산광역시,52183,6635,9214,12071,11070,5873,4593,2727,52962,6736,8953,11835,11390,6544,4578,2926,53191,6652,8826,11444,11508,6991,4714,3056,53925,6867,8688,10979,11512,7597,4981,3301,55328,7879,8755,10748,11380,8140,4966,3460,56656,8385,8797,10497,11377,8912,5072,3616
