행정구역,성별,2015(총계),2015(30세미만),2015(30~39세),2015(40~49세),2015(50~59세),2015(60~69세),2015(70~79세),2015(80세이상),2016(총계),2016(30세미만),2016(30~39세),2016(40~49세),2016(50~59세),2016(60~69세),2016(70~79세),2016(80세이상),2017(총계),2017(30세미만),2017(30~39세),2017(40~49세),2017(50~59세),2017(60~69세),2017(70~79세),2017(80세이상),2018(총계),2018(30세미만),2018(30~39세),2018(40~49세),2018(50~59세),2018(60~69세),2018(70~79세),2018(80세이상),2019(총계),2019(30세미만),2019(30~39세),2019(40~49세),2019(50~59세),2019(60~69세),2019(70~79세),2019(80세이상),2020(총계),2020(30세미만),2020(30~39세),2020(40~49세),2020(50~59세),2020(60~69세),2020(70~79세),2020(80세이상)
전국,총계,8412344,1161399,1888470,1928891,1688166,852286,588320,304812,8624204,1226597,1878241,1902228,1742689,940579,601440,332430,8673868,1261099,1859467,1862826,1753032,994889,602225,340330,8745282,1317473,1831960,1793022,1760394,1062006,619270,361157,8886922,1421843,1833372,1740499,1754588,1121829,628519,386272,9196539,1586841,1868118,1733410,1752476,1211581,641716,402397
전국,남자,5263961,632391,1298517,1300623,1129752,531517,275317,95844,5365682,665237,1294702,1277106,1160646,585091,281666,101234,5348020,677667,1269295,1241004,1156746,616001,283121,104186,5341603,699767,1235469,1184772,1154207,657495,297358,112535,5377934,745633,1223308,1142005,1144362,693722,307195,121709,5500102,810756,1232181,1127858,1137161,746838,317331,127977
전국,여자,3148383,529008,589953,628268,558414,320769,313003,208968,3258522,561360,583539,625122,582043,355488,319774,231196,3325848,583432,590172,621822,596286,378888,319104,236144,3403679,617706,596491,608250,606187,404511,321912,248622,3508988,676210,610064,598494,610226,428107,321324,264563,3696437,776085,635937,605552,615315,464743,324385,274420
수도권,총계,1431400,196310,358113,342974,287323,134951,77989,33738,1461369,205322,354966,337981,295201,148963,81609,37325,1482809,213237,351590,332324,298813,160719,86237,39886,1505586,226477,349793,321706,300930,173030,90520,43128,1544706,248641,353399,314368,302306,184594,94363,47033,1599268,272324,362552,314577,302761,199895,97366,49792
수도권,남자,910583,101621,247070,233572,192336,84879,39162,11939,923592,105206,244797,229315,196801,93420,41048,13003,928231,108703,239503,223916,197640,100422,43860,14185,930743,113832,234627,214800,197539,107661,46694,15588,942983,123322,233851,208234,197100,114399,49064,17011,962705,131734,236328,206382,196051,123231,50805,18172
수도권,여자,520817,94688,111042,109402,94987,50071,38827,21799,537777,100115,110169,108666,98399,55542,40561,24322,554578,104534,112087,108407,101173,60296,42377,25701,574843,112645,115166,106905,103391,65369,43826,27540,601722,125319,119547,106133,105206,70194,45299,30021,636563,140589,126223,108195,106710,76664,46561,31619
지방,총계,2272087,278135,561522,557105,485962,230275,118237,40848,2304530,290566,556468,544356,496335,252232,121059,43512,2296964,296926,544434,527423,493971,265730,123234,45244,2292705,307971,529771,502246,491893,282501,129376,48944,2310188,328735,525836,483833,487373,297575,133731,53104,2357960,354388,529828,477098,483183,319516,138017,55929
지방,남자,2272087,278135,561522,557105,485962,230275,118237,40848,2304530,290566,556468,544356,496335,252232,121059,43512,2296964,296926,544434,527423,493971,265730,123234,45244,2292705,307971,529771,502246,491893,282501,129376,48944,2310188,328735,525836,483833,487373,297575,133731,53104,2357960,354388,529828,477098,483183,319516,138017,55929
지방,여자,2272087,278135,561522,557105,485962,230275,118237,40848,2304530,290566,556468,544356,496335,252232,121059,43512,2296964,296926,544434,527423,493971,265730,123234,45244,2292705,307971,529771,502246,491893,282501,129376,48944,2310188,328735,525836,483833,487373,297575,133731,53104,2357960,354388,529828,477098,483183,319516,138017,55929
서울특별시,총계,1909195,323795,475606,410837,365961,188239,103520,41237,1920646,340170,465349,396963,364436,201961,107192,44575,1938071,352011,460648,386669,362551,214229,113909,48054,1955343,374843,456461,369489,358413,225316,118916,51905,2001514,404180,464889,360066,356498,235957,123359,56565,2054216,434120,475168,357274,351368,250452,126587,59247
서울특별시,남자,1156784,151342,308925,274697,240054,116130,51706,13930,1149864,156234,299264,263735,238283,123888,53524,14936,1145217,160177,290807,253949,235199,130657,57809,16619,1136963,168242,282241,239411,230966,136749,61013,18341,1147292,178499,283152,230880,228375,142807,63434,20145,1157588,186574,284664,225925,223478,150407,65303,21237
서울특별시,여자,752411,172453,166681,136140,125907,72109,51814,27307,770782,183936,166085,133228,126153,78073,53668,29639,792854,191834,169841,132720,127352,83572,56100,31435,818380,206601,174220,130078,127447,88567,57903,33564,854222,225681,181737,129186,128123,93150,59925,36420,896628,247546,190504,131349,127890,100045,61284,38010
부산광역시,총계,549533,75957,98985,113814,121242,73045,46074,20416,560628,78005,98589,110826,121859,80408,48472,22469,562912,81910,99510,107312,119425,83657,48568,22530,567337,86558,99522,103064,116924,87144,50327,23798,577334,93182,101218,100124,114752,90645,51597,25816,595657,102909,104573,99250,112982,96063,52847,27033
부산광역시,남자,328547,39047,66549,73841,79141,43684,20323,5962,332831,39361,66305,71361,79316,48142,21820,6526,330576,41246,65982,68164,76600,49670,22095,6819,330177,42997,65402,65152,74376,51713,23203,7334,334002,45806,66007,63110,72648,54087,24220,8124,341028,49420,67410,62255,71097,57206,25081,8559
부산광역시,여자,220986,36910,32436,39973,42101,29361,25751,14454,227797,38644,32284,39465,42543,32266,26652,15943,232336,40664,33528,39148,42825,33987,26473,15711,237160,43561,34120,37912,42548,35431,27124,16464,243332,47376,35211,37014,42104,36558,27377,17692,254629,53489,37163,36995,41885,38857,27766,18474
