행정구역,2015(총계),2015(30세미만),2015(30~39세),2015(40~49세),2015(50~59세),2015(60~69세),2015(70~79세),2015(80세이상),2016(총계),2016(30세미만),2016(30~39세),2016(40~49세),2016(50~59세),2016(60~69세),2016(70~79세),2016(80세이상),2017(총계),2017(30세미만),2017(30~39세),2017(40~49세),2017(50~59세),2017(60~69세),2017(70~79세),2017(80세이상),2018(총계),2018(30세미만),2018(30~39세),2018(40~49세),2018(50~59세),2018(60~69세),2018(70~79세),2018(80세이상),2019(총계),2019(30세미만),2019(30~39세),2019(40~49세),2019(50~59세),2019(60~69세),2019(70~79세),2019(80세이상),2020(총계),2020(30세미만),2020(30~39세),2020(40~49세),2020(50~59세),2020(60~69세),2020(70~79세),2020(80세이상)
전국,8412344,1161399,1888470,1928891,1688166,852286,588320,304812,8624204,1226597,1878241,1902228,1742689,940579,601440,332430,8673868,1261099,1859467,1862826,1753032,994889,602225,340330,8745282,1317473,1831960,1793022,1760394,1062006,619270,361157,8886922,1421843,1833372,1740499,1754588,1121829,628519,386272,9196539,1586841,1868118,1733410,1752476,1211581,641716,402397
수도권,1431400,196310,358113,342974,287323,134951,77989,33738,1461369,205322,354966,337981,295201,148963,81609,37325,1482809,213237,351590,332324,298813,160719,86237,39886,1505586,226477,349793,321706,300930,173030,90520,43128,1544706,248641,353399,314368,302306,184594,94363,47033,1599268,272324,362552,314577,302761,199895,97366,49792
지방,2272087,278135,561522,557105,485962,230275,118237,40848,2304530,290566,556468,544356,496335,252232,121059,43512,2296964,296926,544434,527423,493971,265730,123234,45244,2292705,307971,529771,502246,491893,282501,129376,48944,2310188,328735,525836,483833,487373,297575,133731,53104,2357960,354388,529828,477098,483183,319516,138017,55929
서울특별시,1909195,323795,475606,410837,365961,188239,103520,41237,1920646,340170,465349,396963,364436,201961,107192,44575,1938071,352011,460648,386669,362551,214229,113909,48054,1955343,374843,456461,369489,358413,225316,118916,51905,2001514,404180,464889,360066,356498,235957,123359,56565,2054216,434120,475168,357274,351368,250452,126587,59247
부산광역시,549533,75957,98985,113814,121242,73045,46074,20416,560628,78005,98589,110826,121859,80408,48472,22469,562912,81910,99510,107312,119425,83657,48568,22530,567337,86558,99522,103064,116924,87144,50327,23798,577334,93182,101218,100124,114752,90645,51597,25816,595657,102909,104573,99250,112982,96063,52847,27033
대구광역시,395517,50673,77125,95996,88082,43180,27690,12771,398044,50229,75438,92227,90078,47718,27988,14366,397656,52934,73201,87318,89970,50532,28773,14928,399549,55905,71604,82556,90507,53261,29759,15957,405338,62073,71050,78614,89382,56196,30564,17459,416192,65834,72640,77511,88910,61305,31419,18573
인천광역시,433570,49026,104034,109638,94913,40653,23551,11755,445788,51531,104216,108515,98749,45450,24569,12758,450057,53779,101907,105767,99265,49799,25824,13716,452004,52750,99773,102521,100134,54653,27397,14776,470367,62110,100596,101320,101647,59823,28866,16005,487905,69876,102073,101300,101914,65657,29966,17119
광주광역시,244627,42212,57283,58463,46137,20751,12975,6806,244935,41926,55509,56806,47663,22398,13372,7261,247469,43455,54102,55815,48698,24035,13871,7493,244706,44192,51034,52931,48874,25484,14240,7951,248179,47933,50134,51433,48649,27084,14559,8387,255546,52503,50412,50885,48574,29446,14968,8758
대전광역시,261850,58015,59678,57074,46882,21320,12589,6292,270173,62196,60156,56247,47847,23796,13042,6889,277329,65041,61240,55491,49002,25893,13446,7216,276947,67241,59160,52721,48985,27416,13851,7573,282659,70753,59468,51041,49330,29476,14414,8177,300526,84240,60528,50800,49400,31889,15175,8494
울산광역시,158912,19802,37816,39884,34038,15359,8262,3751,159509,19614,36705,38566,35091,17043,8468,4022,157621,19120,35024,36837,35260,18347,8822,4211,156602,18972,33216,34905,35077,20072,9662,4698,157188,21271,32572,33295,34398,21080,9686,4886,157953,21844,31745,32105,34239,22850,10000,5170
세종특별자치시,34504,8539,9248,7007,4529,2361,1721,1099,43198,11793,11671,8624,5422,2845,1758,1085,48400,12573,13519,9923,6141,3263,1810,1171,54485,13800,15467,11070,7118,3866,1950,1214,60264,14214,17620,12568,8001,4405,2124,1332,66095,16554,18654,13709,8513,4966,2259,1440
경기도,1951437,216110,494699,508449,401097,175961,106898,48223,2017675,224266,495335,508466,422418,199478,113068,54644,2060301,233923,492217,504536,434625,218130,118980,57890,2109413,251839,493147,493108,444243,239122,125249,62705,2162237,279635,494712,481719,448773,258003,130866,68529,2255684,312976,510415,485159,455002,283576,135546,73010
강원도,272086,44293,45113,56503,56209,30575,25923,13470,277522,47609,45339,55135,57263,32528,25210,14438,274774,43772,45292,53736,57202,34610,25013,15149,275449,44045,44390,51292,56947,37422,25142,16211,270390,41856,42849,48049,55929,39442,24865,17400,282343,52179,42996,46714,54545,42746,24618,18545
