행정구역,2015,2016,2017,2018,2019,2020
전국,8412344,8624204,8673868,8745282,8886922,9196539
수도권,1431400,1461369,1482809,1505586,1544706,1599268
지방,835365,857619,859953,864920,875981,906351
서울특별시,1909195,1920646,1938071,1955343,2001514,2054216
부산광역시,549533,560628,562912,567337,577334,595657
대구광역시,395517,398044,397656,399549,405338,416192
인천광역시,433570,445788,450057,452004,470367,487905
광주광역시,244627,244935,247469,244706,248179,255546
대전광역시,261850,270173,277329,276947,282659,300526
울산광역시,158912,159509,157621,156602,157188,157953
세종특별자치시,34504,43198,48400,54485,60264,66095
경기도,1951437,2017675,2060301,2109413,2162237,2255684
강원도,272086,277522,274774,275449,270390,282343
충청북도,253729,266463,266347,269754,271837,284440
충청남도,349719,357531,357454,358560,359528,374617
전라북도,295645,309387,301349,298879,298816,306844
전라남도,289337,305935,298425,295766,291175,297055
경상북도,427116,443791,435391,428712,427642,442830
경상남도,488562,499887,492343,489952,489409,499881
제주특별자치도,97005,103092,107969,111824,113045,118755
