행정구역,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
전국,67.02,76.12,79.0,78.04,79.45,84.9,84.75,84.99,88.56,94.29,96.91,99.32,100.82,100.34,110.08,128.52
수도권,73.13,87.32,92.26,90.73,89.72,89.48,83.92,82.08,84.84,90.16,94.11,98.28,104.4,107.04,122.53,147.63
지방,60.39,63.02,64.87,65.77,70.38,81.09,85.12,86.82,91.01,97.23,98.98,100.13,97.83,94.79,99.64,112.53
서울특별시,66.82,77.37,81.04,81.73,82.51,82.8,77.58,76.44,79.01,84.22,89.38,96.27,111.59,119.94,140.77,165.07
부산광역시,48.88,49.72,52.02,54.21,61.48,75.52,77.61,77.87,80.51,85.91,92.68,100.0,96.83,92.81,98.64,116.25
대구광역시,62.04,60.34,58.85,56.86,58.03,62.98,67.67,74.43,84.37,99.05,96.01,97.28,102.59,104.29,111.88,132.13
인천광역시,66.77,83.57,98.88,98.82,97.25,93.4,86.61,83.78,86.73,92.42,96.53,99.48,99.33,98.41,107.99,125.57
광주광역시,54.2,54.57,55.44,54.72,56.54,67.11,71.98,75.12,80.54,92.56,96.17,98.53,105.92,112.1,116.29,127.22
대전광역시,75.07,73.46,73.96,75.79,82.81,95.79,94.72,95.25,96.95,97.47,98.41,100.28,100.26,104.78,126.05,146.1
울산광역시,54.68,67.18,66.63,66.12,69.25,77.74,86.73,88.07,92.47,100.25,104.11,102.0,93.29,86.57,92.3,105.97
세종특별자치시,0.0,0.0,0.0,0.0,0.0,0.0,41.77,87.03,89.94,87.75,91.04,97.7,101.7,100.26,135.51,176.93
경기도,78.65,94.77,97.45,94.15,92.26,92.73,87.36,85.34,88.17,93.48,96.62,99.29,101.0,100.98,115.02,143.17
강원도,61.17,61.38,62.95,63.64,66.13,73.19,78.1,78.99,80.88,85.13,92.38,98.75,97.08,89.39,90.38,100.33
충청북도,68.08,69.34,71.37,72.11,76.0,86.51,94.57,97.56,104.15,107.1,103.62,100.8,95.15,87.42,91.03,102.17
충청남도,77.43,79.28,83.37,84.17,85.49,91.23,96.48,99.93,104.42,106.81,104.43,101.19,96.42,92.45,95.88,105.6
전라북도,60.38,64.64,69.7,72.81,80.3,93.51,98.27,95.43,95.63,97.22,97.77,99.5,98.06,93.7,95.74,105.17
전라남도,53.02,58.67,66.44,69.82,75.88,85.62,90.41,89.32,87.68,89.31,92.48,97.35,101.02,102.08,105.09,110.33
경상북도,68.73,74.09,74.19,73.68,75.76,80.88,87.6,95.59,103.37,110.61,106.43,101.41,94.77,88.03,88.85,98.77
경상남도,64.07,67.35,70.31,72.03,78.33,95.53,97.71,98.05,102.36,107.43,107.11,103.0,93.98,86.68,87.8,96.37
제주특별자치도,38.29,39.86,41.67,43.81,49.34,54.88,58.55,58.42,63.22,78.32,97.62,99.9,97.8,93.7,93.05,100.63
