행정구역,2015(총계),2015(30세미만),2015(30~39세),2015(40~49세),2015(50~59세),2015(60~69세),2015(70~79세),2015(80세이상),2016(총계),2016(30세미만),2016(30~39세),2016(40~49세),2016(50~59세),2016(60~69세),2016(70~79세),2016(80세이상),2017(총계),2017(30세미만),2017(30~39세),2017(40~49세),2017(50~59세),2017(60~69세),2017(70~79세),2017(80세이상),2018(총계),2018(30세미만),2018(30~39세),2018(40~49세),2018(50~59세),2018(60~69세),2018(70~79세),2018(80세이상),2019(총계),2019(30세미만),2019(30~39세),2019(40~49세),2019(50~59세),2019(60~69세),2019(70~79세),2019(80세이상),2020(총계),2020(30세미만),2020(30~39세),2020(40~49세),2020(50~59세),2020(60~69세),2020(70~79세),2020(80세이상)
전국,5263961,632391,1298517,1300623,1129752,531517,275317,95844,5365682,665237,1294702,1277106,1160646,585091,281666,101234,5348020,677667,1269295,1241004,1156746,616001,283121,104186,5341603,699767,1235469,1184772,1154207,657495,297358,112535,5377934,745633,1223308,1142005,1144362,693722,307195,121709,5500102,810756,1232181,1127858,1137161,746838,317331,127977
수도권,910583,101621,247070,233572,192336,84879,39162,11939,923592,105206,244797,229315,196801,93420,41048,13003,928231,108703,239503,223916,197640,100422,43860,14185,930743,113832,234627,214800,197539,107661,46694,15588,942983,123322,233851,208234,197100,114399,49064,17011,962705,131734,236328,206382,196051,123231,50805,18172
지방,2272087,278135,561522,557105,485962,230275,118237,40848,2304530,290566,556468,544356,496335,252232,121059,43512,2296964,296926,544434,527423,493971,265730,123234,45244,2292705,307971,529771,502246,491893,282501,129376,48944,2310188,328735,525836,483833,487373,297575,133731,53104,2357960,354388,529828,477098,483183,319516,138017,55929
서울특별시,1156784,151342,308925,274697,240054,116130,51706,13930,1149864,156234,299264,263735,238283,123888,53524,14936,1145217,160177,290807,253949,235199,130657,57809,16619,1136963,168242,282241,239411,230966,136749,61013,18341,1147292,178499,283152,230880,228375,142807,63434,20145,1157588,186574,284664,225925,223478,150407,65303,21237
부산광역시,328547,39047,66549,73841,79141,43684,20323,5962,332831,39361,66305,71361,79316,48142,21820,6526,330576,41246,65982,68164,76600,49670,22095,6819,330177,42997,65402,65152,74376,51713,23203,7334,334002,45806,66007,63110,72648,54087,24220,8124,341028,49420,67410,62255,71097,57206,25081,8559
대구광역시,237455,27331,51464,61647,56541,25215,11529,3728,237189,26614,50737,58751,57290,27829,11884,4084,234353,27563,48821,55279,56587,29446,12279,4378,233532,28890,47430,51811,56557,31133,13039,4672,235034,31672,46966,49143,55521,32886,13623,5223,239618,32705,47930,48318,54988,35829,14288,5560
인천광역시,280271,28282,73766,73337,63918,25982,11214,3772,286806,29508,74018,72445,65967,29006,11784,4078,286854,30542,71564,70372,65708,31634,12613,4421,284883,28957,69222,67823,65719,34513,13742,4907,293748,33596,69037,67072,66309,37616,14783,5335,300837,36576,69111,66556,66107,41264,15511,5712
광주광역시,141465,21113,36315,36478,28516,11905,5303,1835,141165,21142,35126,35234,29202,12828,5673,1960,141950,21866,34122,34506,29545,13816,5966,2129,139591,22119,32094,32484,29673,14685,6230,2306,141285,24093,31596,31474,29464,15719,6484,2455,144569,25483,31824,31223,29527,17103,6812,2597
대전광역시,158169,31872,39735,36426,29859,12638,5694,1945,162558,34076,40341,35663,30307,14094,5963,2114,165653,35184,40969,34945,30705,15289,6234,2327,163785,36083,39162,32980,30333,16126,6598,2503,166183,37537,39390,31850,30378,17351,6973,2704,173644,43538,39574,31451,30237,18615,7394,2835
울산광역시,106729,13167,28602,27813,22968,9486,3669,1024,106547,12878,27752,26731,23701,10499,3890,1096,104430,12468,26198,25393,23752,11356,4108,1155,102677,12105,24528,23926,23565,12475,4681,1397,101860,13392,23817,22547,23018,12940,4720,1426,101297,13459,22948,21608,22862,13938,4928,1554
