위판일자,산지조합명,수산물표준코드명,평균가,총판매액
2022-01-01,안면도,넙치,36500.0,346750
2022-01-01,안면도,낙지,20085.5,11522200
2022-01-01,안면도,문어,11600.0,162400
2022-01-02,안면도,붕장어,19050.0,248000
2022-01-02,안면도,낙지,19064.5,1984700
2022-01-02,안면도,문어,11633.0,348600
2022-01-03,안면도,넙치,25000.0,250000
2022-01-03,안면도,조피볼락,19500.0,204750
2022-01-03,안면도,붕장어,18950.0,321000
2022-01-03,안면도,낙지,18994.5,14031300
2022-01-03,안면도,문어,11650.0,291700
2022-01-04,안면도,넙치,29500.0,59000
2022-01-04,안면도,조피볼락,20300.0,22600
2022-01-04,안면도,붕장어,17000.0,122000
2022-01-04,안면도,낙지,17710.0,2322300
2022-01-04,안면도,문어,11033.0,251800
2022-01-05,안면도,조피볼락,19650.0,23000
2022-01-05,안면도,붕장어,7000.0,7000
2022-01-05,안면도,낙지,19283.5,9232600
2022-01-06,안면도,넙치,29500.0,448500
2022-01-06,안면도,붕장어,4400.0,35200
2022-01-06,안면도,낙지,19504.5,7192400
2022-01-06,안면도,문어,12200.0,183000
2022-01-07,안면도,넙치,34000.0,34000
2022-01-07,안면도,조피볼락,21800.0,94400
2022-01-07,안면도,낙지,19281.0,13209100
2022-01-08,안면도,넙치,30500.0,216000
2022-01-08,안면도,조피볼락,16500.0,12000
2022-01-08,안면도,붕장어,3000.0,6000
2022-01-08,안면도,낙지,19718.0,13025400
2022-01-08,안면도,문어,13600.0,95200
2022-01-09,안면도,조피볼락,20300.0,113500
2022-01-09,안면도,붕장어,22000.0,154000
2022-01-09,안면도,낙지,20088.5,10903900
2022-01-09,안면도,문어,14300.0,128700
2022-01-10,안면도,조피볼락,15900.0,31800
2022-01-10,안면도,붕장어,22000.0,66000
2022-01-10,안면도,낙지,20559.5,7883300
2022-01-11,안면도,조피볼락,21775.0,103200
2022-01-11,안면도,붕장어,23800.0,238000
2022-01-11,안면도,낙지,19500.0,234000
2022-01-11,안면도,문어,15000.0,915000
2022-01-12,안면도,넙치,33300.0,233100
2022-01-14,안면도,넙치,34400.0,275200
2022-01-14,안면도,조피볼락,21400.0,273900
2022-01-14,안면도,낙지,21800.0,1384300
2022-01-15,안면도,조피볼락,20700.0,24500
2022-01-15,안면도,낙지,22561.0,13742600
2022-01-16,안면도,낙지,22900.0,172100
2022-01-17,안면도,넙치,33500.0,117250
2022-01-17,안면도,붕장어,30000.0,30000
2022-01-17,안면도,낙지,25171.5,4375800
2022-01-18,안면도,조피볼락,17500.0,35000
2022-01-18,안면도,낙지,26648.5,253300
2022-01-19,안면도,넙치,36400.0,291200
2022-01-19,안면도,붕장어,16000.0,32000
2022-01-19,안면도,낙지,24781.0,2908900
2022-01-20,안면도,낙지,25760.5,3766536
2022-01-21,안면도,넙치,36000.0,126000
2022-01-21,안면도,민어,24000.0,96000
2022-01-21,안면도,조피볼락,20475.0,442000
2022-01-21,안면도,붕장어,6000.0,36000
2022-01-21,안면도,낙지,26439.0,6448100
2022-01-21,안면도,문어,15800.0,47400
2022-01-22,안면도,조피볼락,21550.0,577500
2022-01-22,안면도,낙지,27535.0,12213092
2022-01-22,안면도,문어,16400.0,1541600
2022-01-23,안면도,넙치,36200.0,162900
2022-01-23,안면도,조피볼락,16800.0,16800
2022-01-23,안면도,낙지,28010.0,10643200
2022-01-24,안면도,넙치,17000.0,68000
2022-01-24,안면도,낙지,28309.5,11324200
2022-01-25,안면도,조피볼락,21650.0,106400
2022-01-25,안면도,낙지,29001.5,7591700
2022-01-25,안면도,문어,18500.0,37000
2022-01-26,안면도,넙치,33000.0,99000
2022-01-26,안면도,조피볼락,22250.0,72000
2022-01-26,안면도,붕장어,24000.0,72000
2022-01-26,안면도,낙지,29462.0,3766700
2022-01-26,안면도,문어,18500.0,203500
2022-01-27,안면도,넙치,33600.0,240800
2022-01-27,안면도,조피볼락,27000.0,27000
2022-01-27,안면도,낙지,30639.0,5520500
2022-01-28,안면도,넙치,36600.0,128100
2022-01-28,안면도,낙지,28344.0,2657600
2022-01-29,안면도,넙치,35500.0,319500
2022-01-29,안면도,조피볼락,20962.5,183700
2022-01-29,안면도,낙지,32869.0,7157000
2022-01-29,안면도,문어,14000.0,28000
2022-01-30,안면도,넙치,37700.0,56550
2022-01-30,안면도,낙지,31538.5,7043600
2021-12-02,안면도,조피볼락,16250.0,29000
2021-12-02,안면도,낙지,43925.0,781000
2021-12-02,안면도,문어,13100.0,222700
2021-12-03,안면도,넙치,16000.0,48000
2021-12-03,안면도,문어,13800.0,331200
2021-12-04,안면도,넙치,10400.0,30000
2021-12-04,안면도,참돔,17400.0,59400
2021-12-04,안면도,조피볼락,18300.0,298800
2021-12-04,안면도,붕장어,19300.0,173700
2021-12-04,안면도,낙지,22800.0,68400
2021-12-04,안면도,문어,10567.0,4165200
2021-12-05,안면도,넙치,16075.0,286000
2021-12-05,안면도,참돔,15500.0,139500
2021-12-05,안면도,조피볼락,18637.5,60000
2021-12-05,안면도,붕장어,9460.0,438600
2021-12-05,안면도,낙지,18640.0,3397550
2021-12-05,안면도,문어,11116.5,2051200
2021-12-06,안면도,넙치,7850.0,346600
2021-12-06,안면도,감성돔,32000.0,32000
2021-12-06,안면도,참돔,19550.0,503000
2021-12-06,안면도,민어,26000.0,234000
2021-12-06,안면도,조피볼락,17150.0,15500
2021-12-06,안면도,붕장어,15790.0,1511000
2021-12-06,안면도,낙지,19301.0,4568300
2021-12-06,안면도,문어,11021.5,1403600
2021-12-07,안면도,넙치,9650.0,188100
2021-12-07,안면도,참돔,15850.0,177000
2021-12-07,안면도,조피볼락,16762.5,504000
2021-12-07,안면도,붕장어,10733.0,345400
2021-12-07,안면도,낙지,20400.0,1121000
2021-12-07,안면도,문어,11143.0,1148500
2021-12-08,안면도,넙치,11000.0,200000
2021-12-08,안면도,참돔,16000.0,27000
2021-12-08,안면도,조피볼락,19125.0,116500
2021-12-08,안면도,붕장어,15650.0,308800
2021-12-08,안면도,낙지,21235.5,6928200
2021-12-08,안면도,문어,11200.0,770400
2021-12-09,안면도,넙치,11300.0,35000
2021-12-09,안면도,참돔,15000.0,90000
2021-12-09,안면도,조피볼락,16850.0,160600
2021-12-09,안면도,붕장어,12000.0,206500
2021-12-09,안면도,낙지,18214.0,7952900
2021-12-09,안면도,문어,10900.0,610400
2021-12-10,안면도,넙치,15000.0,150000
2021-12-10,안면도,조피볼락,14668.75,42600
2021-12-10,안면도,붕장어,17550.0,40200
2021-12-10,안면도,낙지,19045.0,4114100
2021-12-10,안면도,문어,10760.0,1339100
2021-12-11,안면도,넙치,21957.8125,78000
2021-12-11,안면도,조피볼락,17087.5,108000
2021-12-11,안면도,붕장어,20200.0,383800
2021-12-11,안면도,낙지,21200.0,4290700
2021-12-11,안면도,문어,10800.0,298000
2021-12-12,안면도,넙치,13900.0,39000
2021-12-12,안면도,낙지,21900.0,272000
2021-12-12,안면도,문어,10300.0,494400
2021-12-14,안면도,넙치,15050.0,49500
2021-12-14,안면도,조피볼락,14300.0,28600
2021-12-14,안면도,붕장어,19900.0,39800
2021-12-14,안면도,낙지,20208.5,3044900
2021-12-15,안면도,낙지,19833.0,2774000
2021-12-16,안면도,넙치,27675.0,95500
2021-12-16,안면도,조피볼락,17875.0,152000
2021-12-16,안면도,붕장어,20775.0,42500
2021-12-16,안면도,낙지,19817.0,11920400
2021-12-16,안면도,문어,11650.0,419400
2021-12-17,안면도,문어,13500.0,162000
2021-12-18,안면도,넙치,27500.0,96250
2021-12-18,안면도,참돔,19500.0,78000
2021-12-18,안면도,조피볼락,18000.0,63000
2021-12-18,안면도,붕장어,6500.0,13000
2021-12-18,안면도,낙지,22000.0,110000
2021-12-18,안면도,문어,10700.0,759700
2021-12-19,안면도,넙치,24500.0,73500
2021-12-19,안면도,조피볼락,20150.0,45800
2021-12-19,안면도,낙지,17580.0,112000
2021-12-19,안면도,문어,12000.0,108000
2021-12-20,안면도,넙치,23000.0,84000
2021-12-20,안면도,조피볼락,20000.0,80000
2021-12-20,안면도,붕장어,16400.0,21300
2021-12-20,안면도,낙지,19416.5,40000
2021-12-20,안면도,문어,10300.0,1153600
2021-12-21,안면도,넙치,23500.0,164500
2021-12-21,안면도,조피볼락,18000.0,153000
2021-12-21,안면도,붕장어,13000.0,117000
2021-12-21,안면도,낙지,20181.5,7528787
2021-12-21,안면도,문어,10800.0,518400
2021-12-22,안면도,넙치,28500.0,116000
2021-12-22,안면도,조피볼락,18450.0,94500
2021-12-22,안면도,붕장어,9000.0,56000
