위판일자,산지조합명,수산물표준코드명,평균가,총판매액
2022-01-03,부산시,넙치,15074.0,1532000
2022-01-03,부산시,붕장어,12450.0,352050
2022-01-03,부산시,낙지,5000.0,15000
2022-01-03,부산시,문어,18422.0,3637250
2022-01-04,부산시,넙치,12294.0,1060500
2022-01-04,부산시,방어,9000.0,172000
2022-01-04,부산시,문어,18050.0,847250
2022-01-05,부산시,넙치,16364.0,592500
2022-01-05,부산시,붕장어,11600.0,356900
2022-01-05,부산시,낙지,7300.0,14600
2022-01-05,부산시,문어,20952.0,2253250
2022-01-06,부산시,넙치,13577.0,1370000
2022-01-06,부산시,붕장어,9700.0,1288400
2022-01-06,부산시,낙지,5360.0,1116000
2022-01-06,부산시,문어,18921.0,2160500
2022-01-07,부산시,넙치,13086.0,2024000
2022-01-07,부산시,붕장어,14625.0,431000
2022-01-07,부산시,낙지,4805.0,12800600
2022-01-07,부산시,문어,23000.0,1012500
2022-01-08,부산시,넙치,15056.0,1106000
2022-01-08,부산시,방어,19000.0,38000
2022-01-08,부산시,붕장어,11200.0,1971850
2022-01-08,부산시,낙지,4655.0,10887200
2022-01-08,부산시,문어,22267.0,2186000
2022-01-10,부산시,넙치,10191.0,2340000
2022-01-10,부산시,붕장어,10825.0,1991950
2022-01-10,부산시,낙지,3893.0,14655500
2022-01-10,부산시,문어,21950.0,4040250
2022-01-11,부산시,넙치,13682.0,1480500
2022-01-11,부산시,붕장어,15000.0,67500
2022-01-11,부산시,낙지,3983.0,8383000
2022-01-11,부산시,문어,21615.0,1507000
2022-01-13,부산시,넙치,14038.0,2938500
2022-01-13,부산시,붕장어,13000.0,198500
2022-01-13,부산시,낙지,3833.0,872400
2022-01-13,부산시,문어,24400.0,841500
2022-01-14,부산시,넙치,12158.0,2028500
2022-01-14,부산시,낙지,4183.0,2006500
2022-01-15,부산시,넙치,13053.0,1223500
2022-01-15,부산시,방어,14000.0,42000
2022-01-15,부산시,숭어,0.0,17000
2022-01-15,부산시,붕장어,9843.0,1519500
2022-01-15,부산시,낙지,4783.0,1085900
2022-01-15,부산시,문어,26182.0,3669500
2022-01-17,부산시,넙치,11290.0,1565000
2022-01-17,부산시,붕장어,8371.0,1027100
2022-01-17,부산시,낙지,3400.0,642000
2022-01-17,부산시,문어,24393.0,4350750
2022-01-18,부산시,넙치,11688.0,777500
2022-01-18,부산시,붕장어,10000.0,30000
2022-01-18,부산시,문어,19682.0,1462000
2022-01-19,부산시,넙치,6091.0,461000
2022-01-19,부산시,붕장어,11933.0,931400
2022-01-19,부산시,문어,22848.0,4687500
2022-01-20,부산시,문어,25294.0,2607500
2022-01-21,부산시,넙치,9846.0,567000
2022-01-21,부산시,붕장어,11500.0,157000
2022-01-21,부산시,문어,22412.0,1978000
2022-01-22,부산시,넙치,13000.0,435000
2022-01-22,부산시,방어,5333.0,80000
2022-01-22,부산시,붕장어,10413.0,2466000
2022-01-22,부산시,낙지,5108.0,3245000
2022-01-22,부산시,문어,24860.0,3896000
2022-01-24,부산시,넙치,24000.0,144000
2022-01-24,부산시,붕장어,11300.0,1073800
2022-01-24,부산시,낙지,4918.0,5711200
2022-01-24,부산시,문어,25667.0,2495500
2022-01-25,부산시,넙치,14192.0,1440500
2022-01-25,부산시,붕장어,9500.0,140500
2022-01-25,부산시,낙지,6275.0,1763300
2022-01-25,부산시,문어,21643.0,1878250
2022-01-26,부산시,넙치,14143.0,1704000
2022-01-26,부산시,조피볼락,22000.0,66000
2022-01-26,부산시,붕장어,5500.0,503000
2022-01-26,부산시,낙지,5595.0,16755300
2022-01-26,부산시,문어,22611.0,2515750
2022-01-27,부산시,넙치,14333.0,1616500
2022-01-27,부산시,붕장어,11250.0,135000
2022-01-27,부산시,낙지,5908.0,9284400
2022-01-27,부산시,문어,24980.0,3238500
2022-01-28,부산시,넙치,16278.0,1174500
2022-01-28,부산시,붕장어,9750.0,207000
2022-01-28,부산시,낙지,5564.0,17656500
2022-01-28,부산시,문어,19813.0,1570000
2021-12-02,부산시,넙치,12310.0,2096000
2021-12-02,부산시,붕장어,12167.0,251500
2021-12-02,부산시,문어,18125.0,287250
2021-12-03,부산시,넙치,10682.0,1186500
2021-12-03,부산시,방어,5000.0,395000
2021-12-03,부산시,붕장어,12567.0,207200
2021-12-03,부산시,문어,15942.0,2107500
2021-12-04,부산시,넙치,22600.0,325500
2021-12-04,부산시,문어,17600.0,466500
2021-12-06,부산시,넙치,13259.0,1244500
2021-12-06,부산시,참돔,13000.0,65000
2021-12-06,부산시,방어,15500.0,320000
2021-12-06,부산시,붕장어,10883.0,4859300
2021-12-06,부산시,낙지,5000.0,10000
2021-12-06,부산시,문어,16750.0,2448250
2021-12-07,부산시,넙치,11611.0,728500
2021-12-07,부산시,붕장어,10522.0,4108900
2021-12-07,부산시,문어,16294.0,1574750
2021-12-08,부산시,넙치,14571.0,1434000
2021-12-08,부산시,붕장어,13000.0,237500
2021-12-08,부산시,낙지,4300.0,1761000
2021-12-08,부산시,문어,13875.0,1644500
2021-12-09,부산시,넙치,11737.0,1906000
2021-12-09,부산시,붕장어,12750.0,185000
2021-12-09,부산시,낙지,4570.0,4317100
2021-12-09,부산시,문어,14643.0,1236250
2021-12-10,부산시,넙치,10719.0,1446000
2021-12-10,부산시,붕장어,13520.0,1587900
2021-12-10,부산시,낙지,4330.0,6092300
2021-12-10,부산시,문어,17154.0,1343750
2021-12-11,부산시,넙치,16813.0,2430500
2021-12-11,부산시,붕장어,11600.0,3110200
2021-12-11,부산시,낙지,4009.0,11631500
2021-12-11,부산시,문어,15375.0,1883500
2021-12-13,부산시,넙치,13018.0,2704500
2021-12-13,부산시,붕장어,11880.0,801950
2021-12-13,부산시,낙지,3869.0,5369200
2021-12-13,부산시,문어,15925.0,2092250
