위판일자,산지조합명,수산물표준코드명,평균가,총판매액
2022-01-01,서천서부,넙치,19110.0,477750
2022-01-01,서천서부,조피볼락,14800.0,325600
2022-01-01,서천서부,붕장어,12800.0,691200
2022-01-01,서천서부,낙지,11184.5,11748600
2022-01-01,서천서부,문어,14600.0,1109600
2022-01-02,서천서부,넙치,20200.0,686800
2022-01-02,서천서부,조피볼락,15000.0,75000
2022-01-02,서천서부,붕장어,12500.0,162500
2022-01-02,서천서부,낙지,9476.0,471700
2022-01-02,서천서부,문어,14300.0,257400
2022-01-03,서천서부,넙치,21000.0,1344000
2022-01-03,서천서부,조피볼락,15500.0,341000
2022-01-03,서천서부,붕장어,10700.0,449400
2022-01-03,서천서부,낙지,10328.5,12957500
2022-01-03,서천서부,문어,14600.0,350400
2022-01-04,서천서부,넙치,18000.0,954000
2022-01-04,서천서부,붕장어,11700.0,432900
2022-01-04,서천서부,낙지,9812.5,628000
2022-01-04,서천서부,문어,12900.0,967500
2022-01-05,서천서부,넙치,18500.0,1461500
2022-01-05,서천서부,조피볼락,13500.0,54000
2022-01-05,서천서부,붕장어,10600.0,381600
2022-01-05,서천서부,낙지,10455.5,12015088
2022-01-05,서천서부,문어,13620.0,258780
2022-01-06,서천서부,넙치,16500.0,1056000
2022-01-06,서천서부,조피볼락,12800.0,102400
2022-01-06,서천서부,붕장어,10000.0,190000
2022-01-06,서천서부,낙지,9629.5,2179700
2022-01-06,서천서부,문어,14100.0,592200
2022-01-07,서천서부,넙치,19700.0,512200
2022-01-07,서천서부,붕장어,11200.0,145600
2022-01-07,서천서부,낙지,10824.0,13881100
2022-01-07,서천서부,문어,14620.0,102340
2022-01-08,서천서부,넙치,21000.0,336000
2022-01-08,서천서부,조피볼락,14200.0,85200
2022-01-08,서천서부,붕장어,11500.0,57500
2022-01-08,서천서부,낙지,11378.5,8548467
2022-01-08,서천서부,문어,15100.0,906000
2022-01-09,서천서부,넙치,20200.0,60600
2022-01-09,서천서부,붕장어,11500.0,34500
2022-01-09,서천서부,낙지,11502.5,2046910
2022-01-09,서천서부,문어,15600.0,156000
2022-01-10,서천서부,낙지,20120.0,8108360
2022-01-11,서천서부,낙지,20620.0,494880
2022-01-14,서천서부,낙지,21830.0,87320
2022-01-15,서천서부,낙지,22850.0,15857500
2022-01-16,서천서부,낙지,23720.0,664160
2022-01-17,서천서부,넙치,18600.0,74400
2022-01-17,서천서부,붕장어,9500.0,19000
2022-01-17,서천서부,낙지,11430.0,1822800
2022-01-18,서천서부,넙치,22000.0,44000
2022-01-18,서천서부,낙지,15800.0,15800
2022-01-19,서천서부,넙치,19200.0,76800
2022-01-19,서천서부,붕장어,10000.0,30000
2022-01-19,서천서부,낙지,22321.0,13761000
2022-01-19,서천서부,문어,17000.0,102000
2022-01-20,서천서부,넙치,19200.0,19200
2022-01-20,서천서부,붕장어,11700.0,23400
2022-01-20,서천서부,낙지,14275.0,1628100
2022-01-20,서천서부,문어,17300.0,34600
2022-01-21,서천서부,넙치,17000.0,85000
2022-01-21,서천서부,낙지,13935.0,12229134
2022-01-21,서천서부,문어,18000.0,36000
2022-01-22,서천서부,넙치,18120.0,144960
2022-01-22,서천서부,낙지,25600.0,9139200
2022-01-23,서천서부,넙치,19000.0,38000
2022-01-23,서천서부,붕장어,12000.0,60000
2022-01-23,서천서부,낙지,27000.0,2970000
2022-01-24,서천서부,낙지,26611.0,4666080
2022-01-25,서천서부,붕장어,13000.0,65000
2022-01-25,서천서부,낙지,28364.0,10416000
2022-01-26,서천서부,낙지,26990.0,2746760
2022-01-27,서천서부,낙지,30000.0,4140000
2022-01-28,서천서부,낙지,30500.0,1195000
2022-01-29,서천서부,낙지,30100.0,425000
2022-01-30,서천서부,낙지,32700.0,7324800
2021-12-02,서천서부,넙치,15100.0,151000
2021-12-02,서천서부,붕장어,12500.0,187500
2021-12-02,서천서부,낙지,10679.0,4399600
2021-12-02,서천서부,문어,11536.0,4401320
2021-12-03,서천서부,붕장어,12300.0,12300
2021-12-03,서천서부,낙지,15200.0,1656800
