행정구역별,2019.01 월,2019.02 월,2019.03 월,2019.04 월,2019.05 월,2019.06 월,2019.07 월,2019.08 월,2019.09 월,2019.10 월,2019.11 월,2019.12 월,2020.01 월,2020.02 월,2020.03 월,2020.04 월,2020.05 월,2020.06 월,2020.07 월,2020.08 월,2020.09 월,2020.10 월,2020.11 월,2020.12 월,2021.01 월,2021.02 월,2021.03 월,2021.04 월,2021.05 월,2021.06 월,2021.07 월,2021.08 월,2021.09 월,2021.10 월,2021.11 월,2021.12 월
부산광역시,0.035,0.01,0.019,0.343,0.424,0.265,2.194,3.997,7.683,6.474,17.712,11.961,4.067,1.708,0.817,0.48,0.274,0.082,1.1,3.145,3.334,9.432,14.386,4.096,0.73,0.062,0.192,0.101,0.289,0.989,3.468,5.136,8.774,9.588,29.468,20.753
인천광역시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
울산광역시,0.0,0.0,0.0,0.617,5.966,0.679,0.0,5.451,0.279,1.546,2.637,1.667,0.074,0.0,0.208,0.0,0.073,0.208,0.0,0.01,0.208,1.851,1.886,0.519,0.041,0.0,0.0,0.294,0.339,0.558,0.606,0.255,0.268,2.167,3.773,0.97
강원도,117.897,123.45,0.49,15.031,273.019,395.178,484.157,262.9,254.448,442.683,750.344,576.528,247.132,6.503,2.311,12.153,258.354,506.346,153.676,130.832,70.138,288.982,276.151,292.786,29.335,1.933,0.259,27.068,390.736,488.418,446.81,169.265,110.041,509.769,618.52,308.825
충청남도,0.0,0.0,0.0,0.031,0.0,0.006,0.013,0.095,0.038,0.092,0.065,0.015,0.004,0.0,0.0,0.0,0.014,0.069,0.149,0.107,0.458,0.218,0.03,0.006,0.0,0.0,0.0,0.0,0.032,0.02,0.068,0.298,0.712,0.479,0.07,0.009
전라북도,0.0,0.0,0.0,0.0,0.014,0.006,0.014,0.0,0.03,0.177,0.043,0.0,0.0,0.0,0.0,0.0,0.005,0.022,0.048,0.012,0.224,0.198,0.043,0.0,0.0,0.0,0.0,0.0,0.017,0.006,0.029,0.005,0.388,0.48,0.028,0.008
전라남도,5.37,1.327,0.363,0.163,0.303,0.008,4.191,1.181,0.933,1.843,9.136,15.893,5.258,0.265,0.383,0.103,1.245,0.018,0.573,0.016,0.066,2.022,6.587,7.132,6.103,1.785,0.385,0.108,0.174,0.225,0.222,1.373,0.362,2.217,14.609,20.863
경상북도,73.012,53.665,10.241,165.772,206.734,96.659,125.774,140.31,162.833,310.557,866.307,517.491,71.803,28.507,25.921,70.42,386.814,106.133,139.958,151.221,85.562,242.575,806.606,433.856,62.388,5.374,2.609,41.736,146.398,210.002,197.608,141.293,144.828,259.619,442.942,392.408
경상남도,2.691,1.54,1.596,1.46,13.331,1.657,4.676,16.488,12.266,12.865,80.497,44.98,15.87,9.231,0.779,0.704,9.23,1.839,6.911,8.838,17.574,18.046,19.181,25.068,12.713,1.5,0.384,1.375,6.408,10.876,14.041,17.369,24.656,16.792,45.535,29.331
제주도,314.095,197.702,104.224,73.664,9.319,1.478,9.392,17.109,55.274,181.688,270.068,714.106,269.844,77.845,24.9,16.7,8.298,0.31,2.238,23.771,87.11,78.456,352.567,337.407,89.139,61.546,93.795,63.838,7.932,1.206,28.259,44.963,33.215,144.047,372.046,490.943
