붕장어,민어,광어,우럭,낙지,문어,감성돔,돌돔,방어,참돔,전복,갑오징어,고등어,숭어,전어,쏨뱅이,송어,복어,참치
5.04077,10.13661,13.66208,11.7505,18.42566,23.19949,13.02574,8.13349,43.66157,9.474026981447167,32.37394670532794,8.766634592226568,21.16309275227049,16.99294,3.92238,6.77246,27.74477,13.49884,35.8885
3.97615,11.99633,12.06419,10.45094,15.83934,21.16564,12.87274,5.42488,21.56255,8.41965138517146,41.227660689497405,7.502270155788897,15.772127195342346,13.7293,2.53703,3.34686,16.8585,9.22115,30.56412
9.88566,10.15902,14.86306,12.43998,20.79561,22.04652,10.44902,5.65535,10.31266,8.50607183355066,32.26255229588452,11.92976138105369,17.925703023814425,16.08773,2.30784,3.16505,13.74787,9.90294,31.8208
5.58109,9.98233,15.72346,14.74911,19.63624,21.57599,10.03738,5.33078,8.47342,8.863301613021298,34.2272748990003,20.008211788941505,21.087561346281426,14.10701,2.54727,2.88401,10.29601,9.64431,29.9265
6.68796,14.02763,17.28102,13.62559,21.29047,25.2884,10.35171,7.55476,8.96188,10.255056313911194,156.64912135451698,26.825493636675592,20.101040463477684,13.19027,2.83791,8.62706,10.85105,10.20447,32.37455
7.81724,20.41662,14.85666,12.67044,22.8333,23.63673,8.48622,8.35051,8.48302,9.284531286116259,164.7358909248965,22.21748482213529,19.85329415711573,10.61482,2.82063,15.95457,9.61358,9.88822,32.07239
8.48366,41.15911,27.93618,12.74406,27.71852,28.79658,7.63671,8.72501,11.41569,10.623801132157482,77.07908321071535,13.219099778555577,20.41728395328621,8.94779,8.66419,4.68483,11.40673,68.4692,34.35847
13.72738,50.03264,16.60819,11.5815,25.94714,28.04501,8.85497,12.52448,10.92851,8.988780941138792,64.27930216892,12.021305115640656,22.772512985839455,9.91895,26.01372,3.53635,10.8837,10.71789,35.56393
6.83648,21.01583,17.62992,11.77099,23.58552,27.56488,12.13461,11.37536,27.40291,9.787074594971747,53.33668766705557,17.4833377359138,22.91271970260563,11.66472,49.04421,3.81483,10.22239,9.63919,36.45634
7.39984,10.46054,15.12745,14.31251,24.69111,24.65014,14.3061,11.34463,40.33647,10.669894234438267,32.9142639539725,25.605311366183976,24.52085499622538,12.63395,35.34883,4.42556,13.50332,10.95988,33.44941
6.44277,8.29353,14.12557,13.27733,24.44848,23.89344,13.78948,8.6021,72.45176,11.322231888911766,31.450816193352093,20.414730546976873,23.303868602017708,14.47319,9.34919,4.94731,13.88166,10.50343,31.35538
5.89606,7.81083,13.87782,11.54565,20.91532,22.78081,12.51616,7.37999,66.15302,10.737748947910234,31.308698540251182,13.123058754146363,20.24763893281175,15.07368,3.80395,4.59009,18.34436,10.98741,34.21059
5.4889,10.20447,13.19411,11.42913,20.80777,28.46497,11.07639,6.71036,40.40433,9.54061322855901,49.640920322100975,11.752439668062133,22.46651606844646,20.88972,3.16761,3.54467,26.55275,11.87726,40.35632
5.38967,9.24804,16.67157,10.37092,19.99282,21.23734,10.24544,5.57981,20.21497,8.107888711596093,30.888094863541742,9.563017309724795,16.777213813053326,14.30418,2.59785,2.89809,13.49564,10.16222,31.65947
4.9742,8.1162,22.88772,12.62051,23.94338,31.29137,12.47775,7.96832,9.92663,8.936922082675634,30.46493778052296,14.756810478804933,21.535692390364424,15.43346,2.94226,3.5658,10.40292,10.33507,33.27977
