위판일자,산지조합명,수산물표준코드명,평균가,총판매액
2022-01-01,인천,넙치,17858.0,4669000
2022-01-01,인천,민어,36000.0,180000
2022-01-01,인천,조피볼락,21125.0,1401250
2022-01-01,인천,붕장어,12125.0,108500
2022-01-01,인천,낙지,3443.25,739100
2022-01-01,인천,문어,15000.0,120000
2022-01-02,인천,넙치,21000.0,3084500
2022-01-02,인천,조피볼락,18250.0,380000
2022-01-02,인천,낙지,3336.875,16555200
2022-01-03,인천,넙치,15345.0,1613000
2022-01-03,인천,조피볼락,17571.0,635500
2022-01-03,인천,붕장어,10500.0,117500
2022-01-03,인천,낙지,7700.0,192500
2022-01-04,인천,넙치,13970.5,1057500
2022-01-04,인천,조피볼락,15000.0,45000
2022-01-04,인천,낙지,3941.6875,6161400
2022-01-05,인천,넙치,14425.0,78000
2022-01-05,인천,조피볼락,18400.0,573000
2022-01-05,인천,붕장어,16000.0,88000
2022-01-05,인천,낙지,4442.875,11046000
2022-01-05,인천,문어,14000.0,35000
2022-01-06,인천,넙치,30000.0,90000
2022-01-06,인천,낙지,5867.625,652400
2022-01-07,인천,넙치,20756.5,862400
2022-01-07,인천,조피볼락,16712.5,303150
2022-01-07,인천,붕장어,12000.0,549000
2022-01-07,인천,낙지,5329.375,12230600
2022-01-08,인천,넙치,15000.0,30000
2022-01-08,인천,조피볼락,20000.0,65000
2022-01-08,인천,붕장어,14000.0,56000
2022-01-08,인천,낙지,4024.5625,11813100
2022-01-09,인천,넙치,19000.0,148500
2022-01-09,인천,조피볼락,21333.0,992000
2022-01-09,인천,낙지,6286.0625,134600
2022-01-10,인천,넙치,21429.0,415000
2022-01-10,인천,조피볼락,20500.0,36000
2022-01-10,인천,붕장어,15000.0,30000
2022-01-10,인천,낙지,3981.25,5046000
2022-01-11,인천,조피볼락,22300.0,2553750
2022-01-11,인천,붕장어,13000.0,78000
2022-01-11,인천,낙지,4059.875,12209400
2022-01-13,인천,넙치,20000.0,20000
2022-01-15,인천,넙치,22400.0,1386000
2022-01-15,인천,조피볼락,18800.0,206500
2022-01-15,인천,낙지,5738.625,1260000
2022-01-16,인천,넙치,23500.0,1030000
2022-01-16,인천,조피볼락,21333.0,280000
2022-01-16,인천,낙지,5469.6875,10139200
2022-01-17,인천,넙치,17333.0,813000
2022-01-17,인천,조피볼락,25000.0,222000
2022-01-17,인천,붕장어,11500.0,115000
2022-01-18,인천,넙치,23000.0,57500
2022-01-18,인천,조피볼락,20000.0,20000
2022-01-18,인천,낙지,6459.375,17200
2022-01-19,인천,넙치,15559.0,716000
2022-01-19,인천,조피볼락,17000.0,68000
2022-01-19,인천,붕장어,10000.0,150000
2022-01-20,인천,넙치,24500.0,87000
2022-01-20,인천,조피볼락,23000.0,248000
2022-01-20,인천,붕장어,11000.0,22000
2022-01-20,인천,낙지,5110.9375,2598000
2022-01-21,인천,넙치,16563.0,833000
2022-01-21,인천,조피볼락,26000.0,216000
2022-01-22,인천,조피볼락,7100.0,634900
2022-01-22,인천,낙지,7489.5625,326000
2022-01-23,인천,조피볼락,21333.0,359000
2022-01-23,인천,붕장어,10000.0,20000
2022-01-23,인천,낙지,7107.75,6069500
2022-01-24,인천,넙치,22000.0,33000
2022-01-24,인천,조피볼락,24000.0,48000
2022-01-24,인천,낙지,4350.875,951400
2022-01-26,인천,조피볼락,27000.0,135000
2022-01-27,인천,조피볼락,28000.0,112000
2022-01-27,인천,낙지,7764.625,6360000
2022-01-28,인천,조피볼락,27000.0,81000
2022-01-28,인천,낙지,9287.5,504000
2022-01-29,인천,조피볼락,18000.0,54000
2022-01-29,인천,붕장어,8000.0,8000
2022-01-29,인천,낙지,7910.9375,300000
2022-01-30,인천,낙지,6358.5,2296400
2022-01-31,인천,조피볼락,20000.0,20000
2021-12-02,인천,넙치,12866.0,2746500
2021-12-02,인천,참돔,7500.0,171000
2021-12-02,인천,민어,28000.0,84000
2021-12-02,인천,조피볼락,13891.5,4729250
2021-12-02,인천,붕장어,13371.0,1843750
2021-12-02,인천,낙지,4800.0,192000
2021-12-03,인천,넙치,20429.0,2141500
2021-12-03,인천,조피볼락,14722.0,1478500
2021-12-03,인천,붕장어,11083.5,1007000
2021-12-03,인천,낙지,3178.75,6289600
2021-12-04,인천,넙치,16866.5,1944000
2021-12-04,인천,참돔,9917.0,617500
2021-12-04,인천,민어,25000.0,162500
2021-12-04,인천,조피볼락,13146.0,2205000
2021-12-04,인천,붕장어,9500.0,1001000
2021-12-04,인천,낙지,3640.0625,1012800
2021-12-05,인천,넙치,17425.0,908000
2021-12-05,인천,조피볼락,16000.0,253500
2021-12-05,인천,붕장어,10000.0,824500
2021-12-05,인천,낙지,3883.9375,11509700
2021-12-05,인천,문어,17000.0,59500
2021-12-06,인천,넙치,20738.5,720500
2021-12-06,인천,참돔,17333.0,178500
2021-12-06,인천,민어,28000.0,392000
2021-12-06,인천,조피볼락,15600.0,295000
2021-12-06,인천,붕장어,12875.0,135000
2021-12-06,인천,낙지,2639.3125,508800
2021-12-07,인천,넙치,16696.5,128500
2021-12-07,인천,조피볼락,14125.0,110000
2021-12-07,인천,붕장어,14667.0,199000
2021-12-07,인천,낙지,3901.8125,666200
2021-12-08,인천,넙치,18154.0,952500
2021-12-08,인천,조피볼락,16916.5,180000
2021-12-08,인천,붕장어,11583.0,472000
2021-12-08,인천,낙지,3186.21875,1123500
2021-12-08,인천,문어,27500.0,179000
2021-12-09,인천,넙치,19600.0,237500
2021-12-09,인천,조피볼락,13000.0,39000
2021-12-09,인천,낙지,2479.3125,1272300
2021-12-09,인천,문어,14000.0,39000
2021-12-10,인천,넙치,13000.0,32500
2021-12-10,인천,조피볼락,20000.0,760000
2021-12-10,인천,붕장어,15000.0,45000
2021-12-10,인천,낙지,2886.8125,6063200
2021-12-11,인천,넙치,21000.0,151000
2021-12-11,인천,조피볼락,12000.0,96000
2021-12-11,인천,낙지,2411.5,3194800
2021-12-11,인천,문어,16000.0,72000
2021-12-12,인천,넙치,22000.0,66000
2021-12-12,인천,조피볼락,17800.0,1792500
2021-12-12,인천,붕장어,13333.0,262000
2021-12-12,인천,낙지,2671.1875,1315300
2021-12-13,인천,낙지,3583.875,2373200
2021-12-14,인천,넙치,18327.0,1012000
2021-12-14,인천,조피볼락,14000.0,75000
2021-12-14,인천,낙지,3823.25,175000
2021-12-15,인천,넙치,18100.0,521500
2021-12-15,인천,조피볼락,14333.5,192500
2021-12-15,인천,낙지,4009.1875,14917000
2021-12-16,인천,넙치,20933.5,952000
2021-12-16,인천,조피볼락,15298.0,209000
2021-12-16,인천,붕장어,14000.0,28000
2021-12-16,인천,낙지,3181.5,12180700
2021-12-17,인천,넙치,20000.0,707500
2021-12-17,인천,조피볼락,21733.0,10752000
2021-12-17,인천,붕장어,17000.0,59500
2021-12-17,인천,낙지,2815.875,9600800
2021-12-18,인천,넙치,12768.5,5478500
2021-12-18,인천,방어,25000.0,125000
2021-12-18,인천,조피볼락,12394.0,8070400
2021-12-18,인천,붕장어,11250.0,214000
2021-12-18,인천,낙지,6533.0,837400
2021-12-19,인천,넙치,15250.0,266000
2021-12-19,인천,낙지,4070.75,592000
2021-12-20,인천,넙치,11688.5,2630500
2021-12-20,인천,조피볼락,14595.0,187000
2021-12-20,인천,붕장어,13375.0,519000
2021-12-20,인천,낙지,4394.25,1752000
2021-12-21,인천,넙치,15100.0,387000
2021-12-21,인천,조피볼락,18200.0,691500
2021-12-21,인천,붕장어,15250.0,152750
2021-12-21,인천,낙지,2687.59375,1826500
2021-12-22,인천,넙치,19778.0,1123500
2021-12-22,인천,참돔,23000.0,46000
2021-12-22,인천,조피볼락,17200.0,505000
2021-12-22,인천,낙지,3709.65625,8287900
2021-12-23,인천,넙치,20667.0,550000
2021-12-23,인천,조피볼락,10000.0,10000
2021-12-23,인천,낙지,4988.09375,596300
2021-12-24,인천,넙치,21729.0,145000
2021-12-24,인천,조피볼락,18500.0,33000
2021-12-24,인천,붕장어,14875.0,269000
2021-12-24,인천,낙지,4205.5390625,1075400
2021-12-24,인천,문어,17000.0,76000
2021-12-25,인천,조피볼락,16400.0,460000
2021-12-25,인천,붕장어,16000.0,96000
2021-12-25,인천,낙지,3068.8125,1131500
2021-12-27,인천,넙치,24616.5,864000
2021-12-27,인천,조피볼락,19000.0,493000
2021-12-28,인천,넙치,15355.0,2902800
2021-12-28,인천,조피볼락,15750.0,1082500
2021-12-28,인천,붕장어,11000.0,104000
2021-12-28,인천,낙지,4395.125,4425300
2021-12-29,인천,넙치,20200.0,558000
2021-12-29,인천,조피볼락,24480.0,2507100
2021-12-29,인천,낙지,4682.875,1199800
2021-11-01,인천,넙치,5000.0,70000
2021-11-01,인천,조피볼락,16600.0,350000
2021-11-01,인천,붕장어,8477.0,1860600
2021-11-01,인천,낙지,4400.0,21000
2021-11-02,인천,넙치,25500.0,90500
2021-11-02,인천,참돔,5250.0,70500
2021-11-02,인천,조피볼락,12500.0,166000
2021-11-02,인천,붕장어,8773.0,1222000
2021-11-02,인천,낙지,7200.0,234000
2021-11-03,인천,넙치,23000.0,264500
2021-11-03,인천,조피볼락,17000.0,68000
2021-11-03,인천,붕장어,8250.0,807000
2021-11-03,인천,낙지,5058.25,470500
2021-11-04,인천,넙치,23583.5,448000
2021-11-04,인천,민어,28000.0,56000
2021-11-04,인천,조피볼락,11538.0,979400
2021-11-04,인천,붕장어,8670.0,926200
2021-11-04,인천,낙지,5232.5,1126900
2021-11-05,인천,넙치,17023.5,40000
2021-11-05,인천,민어,32000.0,284000
2021-11-05,인천,조피볼락,10000.0,10000
2021-11-05,인천,붕장어,10813.0,680750
2021-11-05,인천,낙지,4672.875,165000
2021-11-05,인천,문어,33000.0,99000
2021-11-06,인천,넙치,25785.5,135000
2021-11-06,인천,감성돔,27500.0,142500
2021-11-06,인천,조피볼락,7000.0,7000
2021-11-06,인천,붕장어,14286.0,379500
2021-11-06,인천,낙지,4454.25,918000
2021-11-07,인천,넙치,10500.0,34000
2021-11-07,인천,조피볼락,7000.0,21000
2021-11-07,인천,붕장어,10700.0,420750
2021-11-07,인천,낙지,5089.5,226600
2021-11-08,인천,조피볼락,12000.0,36000
2021-11-08,인천,붕장어,9767.0,2295750
2021-11-08,인천,낙지,5237.5,406800
2021-11-12,인천,넙치,20500.0,238000
2021-11-12,인천,낙지,8125.0,210000
