위판일자,산지조합명,수산물표준코드명,평균가,총판매액
2022-01-03,전남서부어류양식,넙치,13188.0,197820000
2022-01-04,전남서부어류양식,넙치,10000.0,66582500
2022-01-06,전남서부어류양식,넙치,12654.0,374930000
2022-01-07,전남서부어류양식,넙치,10000.0,50650000
2022-01-10,전남서부어류양식,넙치,13727.0,183760000
2022-01-11,전남서부어류양식,넙치,9000.0,265368750
2022-01-12,전남서부어류양식,넙치,13250.0,159510000
2022-01-13,전남서부어류양식,넙치,10000.0,154580000
2022-01-17,전남서부어류양식,넙치,10000.0,195425000
2022-01-18,전남서부어류양식,넙치,15667.0,121117500
2022-01-19,전남서부어류양식,넙치,12357.0,155555000
2022-01-20,전남서부어류양식,넙치,13700.0,127777500
2022-01-21,전남서부어류양식,넙치,10000.0,69695000
2022-01-24,전남서부어류양식,넙치,10000.0,498260000
2022-01-25,전남서부어류양식,넙치,11569.0,193735000
2022-01-26,전남서부어류양식,넙치,11125.0,186145000
2022-01-27,전남서부어류양식,넙치,10000.0,59910000
2022-01-28,전남서부어류양식,넙치,11789.0,337641250
2021-12-01,전남서부어류양식,넙치,14600.0,146260000
2021-12-02,전남서부어류양식,넙치,10000.0,28350000
2021-12-03,전남서부어류양식,넙치,10000.0,63025000
2021-12-06,전남서부어류양식,넙치,9092.0,158266250
2021-12-07,전남서부어류양식,넙치,14150.0,128380000
2021-12-08,전남서부어류양식,넙치,10000.0,22280000
2021-12-09,전남서부어류양식,넙치,12909.0,350805000
2021-12-10,전남서부어류양식,넙치,10000.0,282525000
2021-12-13,전남서부어류양식,넙치,10000.0,250535000
2021-12-14,전남서부어류양식,넙치,10000.0,138427500
2021-12-15,전남서부어류양식,넙치,10000.0,61390000
2021-12-16,전남서부어류양식,넙치,14000.0,68525000
2021-12-17,전남서부어류양식,넙치,10000.0,236030000
2021-12-20,전남서부어류양식,넙치,10000.0,157395000
2021-12-21,전남서부어류양식,넙치,8586.0,129200000
2021-12-22,전남서부어류양식,넙치,8579.0,184406250
2021-12-23,전남서부어류양식,넙치,13083.0,140680000
2021-12-24,전남서부어류양식,넙치,10000.0,118450000
2021-12-27,전남서부어류양식,넙치,10000.0,210912500
2021-12-28,전남서부어류양식,넙치,14833.0,96060000
2021-12-29,전남서부어류양식,넙치,13550.0,165224500
2021-12-30,전남서부어류양식,넙치,15167.0,47380000
2021-12-31,전남서부어류양식,넙치,12100.0,549830000
2021-11-01,전남서부어류양식,넙치,10000.0,75340000
2021-11-02,전남서부어류양식,넙치,15600.0,32450000
2021-11-03,전남서부어류양식,넙치,10000.0,43945000
2021-11-04,전남서부어류양식,넙치,13625.0,55540000
2021-11-05,전남서부어류양식,넙치,10000.0,45700000
2021-11-08,전남서부어류양식,넙치,13143.0,55010000
2021-11-09,전남서부어류양식,넙치,10000.0,15725000
2021-11-10,전남서부어류양식,넙치,15750.0,52220000
2021-11-16,전남서부어류양식,넙치,10000.0,18320000
2021-11-17,전남서부어류양식,넙치,11625.0,108000000
2021-11-18,전남서부어류양식,넙치,10000.0,4835000
2021-11-19,전남서부어류양식,넙치,10000.0,60900000
2021-11-23,전남서부어류양식,넙치,14250.0,89915000
2021-11-24,전남서부어류양식,넙치,10000.0,45540000
2021-11-26,전남서부어류양식,넙치,11962.0,126125750
2021-11-29,전남서부어류양식,넙치,10000.0,12995000
2021-11-30,전남서부어류양식,넙치,10000.0,103090000
2021-10-05,전남서부어류양식,넙치,20457.0,82525000
2021-10-07,전남서부어류양식,넙치,20633.0,52250000
2021-10-13,전남서부어류양식,넙치,15920.0,48050000
2021-10-18,전남서부어류양식,넙치,22000.0,22000000
2021-10-20,전남서부어류양식,넙치,10000.0,14110000
2021-10-21,전남서부어류양식,넙치,10000.0,27105000
2021-10-22,전남서부어류양식,넙치,10000.0,22895000
2021-10-25,전남서부어류양식,넙치,12786.0,127760000
2021-10-26,전남서부어류양식,넙치,13250.0,77400000
2021-10-27,전남서부어류양식,넙치,12750.0,25335000
2021-10-28,전남서부어류양식,넙치,10000.0,13985000
2021-10-29,전남서부어류양식,넙치,10000.0,22400000
2021-10-30,전남서부어류양식,넙치,10000.0,92825000
2021-10-31,전남서부어류양식,넙치,10000.0,38550000
2021-09-02,전남서부어류양식,넙치,10000.0,53105000
2021-09-06,전남서부어류양식,넙치,16214.0,89605000
2021-09-07,전남서부어류양식,넙치,10000.0,16340000
2021-09-08,전남서부어류양식,넙치,14667.0,63425000
2021-09-15,전남서부어류양식,넙치,12250.0,37160000
2021-09-17,전남서부어류양식,넙치,10000.0,36750000
2021-09-28,전남서부어류양식,넙치,14417.0,55015000
2021-09-29,전남서부어류양식,넙치,10000.0,16990000
2021-10-05,전남서부어류양식,넙치,20457.0,82525000
