위판일자,산지조합명,수산물표준코드명,평균가,총판매액
2022-01-03,속초시,조피볼락,111093.0,4616100
2022-01-03,속초시,숭어,96561.0,2455300
2022-01-03,속초시,문어,75860.0,2731600
2022-01-04,속초시,조피볼락,73233.0,1098500
2022-01-04,속초시,숭어,63080.0,315400
2022-01-04,속초시,문어,57994.0,3908470
2022-01-05,속초시,조피볼락,89186.0,624300
2022-01-05,속초시,숭어,40970.0,409700
2022-01-05,속초시,문어,55200.0,3646400
2022-01-06,속초시,조피볼락,66114.0,462800
2022-01-06,속초시,숭어,54800.0,109600
2022-01-06,속초시,문어,54144.0,3721880
2022-01-07,속초시,조피볼락,64380.0,643800
2022-01-07,속초시,숭어,45900.0,183600
2022-01-07,속초시,문어,75806.0,1733100
2022-01-10,속초시,조피볼락,69418.0,763600
2022-01-10,속초시,숭어,48133.0,433200
2022-01-10,속초시,문어,75364.0,3220200
2022-01-11,속초시,조피볼락,82325.0,329300
2022-01-11,속초시,문어,108500.0,217000
2022-01-11,속초시,송어,20000.0,20000
2022-01-12,속초시,조피볼락,96286.0,674000
2022-01-12,속초시,숭어,63667.0,191000
2022-01-12,속초시,문어,79949.0,985575
2022-01-17,속초시,조피볼락,205829.0,1440800
2022-01-17,속초시,숭어,89900.0,89900
2022-01-17,속초시,문어,73378.0,3700220
2022-01-17,속초시,송어,44500.0,89000
2022-01-18,속초시,조피볼락,117475.0,469900
2022-01-18,속초시,숭어,119900.0,119900
2022-01-18,속초시,문어,72140.0,730040
2022-01-19,속초시,조피볼락,174600.0,349200
2022-01-19,속초시,문어,76171.0,1214008
2022-01-20,속초시,조피볼락,81233.0,487400
2022-01-20,속초시,숭어,110000.0,110000
2022-01-20,속초시,문어,79259.0,3042700
2022-01-24,속초시,조피볼락,107570.0,1075700
2022-01-24,속초시,숭어,111450.0,222900
2022-01-24,속초시,문어,79768.0,7505470
2022-01-25,속초시,조피볼락,94920.0,474600
2022-01-25,속초시,문어,116500.0,3329520
2022-01-26,속초시,조피볼락,81183.0,487100
2022-01-26,속초시,문어,60124.0,4031410
2022-01-27,속초시,조피볼락,105113.0,840900
2022-01-27,속초시,문어,66169.0,6931276
2022-01-28,속초시,넙치,107668.0,2368700
2022-01-28,속초시,조피볼락,85667.0,257000
2022-01-28,속초시,문어,55579.0,3805670
2021-12-01,속초시,조피볼락,141700.0,283400
2021-12-01,속초시,문어,65960.0,406888
2021-12-03,속초시,고등어,17250.0,69000
2021-12-03,속초시,방어,270133.0,810400
2021-12-03,속초시,조피볼락,156820.0,961100
2021-12-06,속초시,고등어,91000.0,91000
2021-12-06,속초시,방어,167812.0,3726400
2021-12-06,속초시,조피볼락,121196.0,3580500
2021-12-06,속초시,전어,79500.0,79500
2021-12-06,속초시,문어,94783.0,670610
2021-12-07,속초시,방어,141000.0,141000
2021-12-07,속초시,조피볼락,107591.0,1183500
2021-12-07,속초시,문어,54800.0,4712920
2021-12-08,속초시,고등어,36275.0,145100
2021-12-08,속초시,조피볼락,103850.0,1038500
2021-12-09,속초시,고등어,27000.0,27000
2021-12-09,속초시,방어,209800.0,419600
